full_name,a,e,i,om,w,ma
  4486 Mithra (1987 SB),2.199268675,0.66294203,3.039584651,82.23846656,168.9079423,94.39483416
  4581 Asclepius (1989 FC),1.022634385,0.356971447,4.917455424,180.210286,255.3560593,317.8722035
  4660 Nereus (1982 DB),1.488887293,0.360215731,1.43207744,314.4053374,158.085789,150.4477428
  4769 Castalia (1989 PB),1.063180455,0.483213075,8.885507134,325.5403585,121.4100925,145.3860959
  4953 (1990 MU),1.621188232,0.657668588,24.3907477,77.70361885,77.74818192,336.7330746
  5011 Ptah (6743 P-L),1.636236167,0.500134637,7.4084019,10.65571211,105.9249868,234.2140199
  5189 (1990 UQ),1.55235809,0.478344197,3.578579299,135.2166207,159.7847581,263.8303956
  5604 (1992 FE),0.92857723,0.4060242,4.715352041,311.9097176,82.65336174,167.9041839
  5693 (1993 EA),1.270936786,0.585210018,5.054696444,97.0329625,258.8856905,319.8877374
  6037 (1988 EG),1.271283025,0.499555315,3.499816844,182.3666976,242.202988,7.034219136
  6239 Minos (1989 QF),1.151288502,0.412628717,3.941944283,344.5767998,239.7017899,187.2858772
  6489 Golevka (1991 JX),2.502473956,0.605296547,2.27648076,211.0620215,66.65547374,274.4136345
  6491 (1991 OA),2.500599143,0.590925634,5.948721635,301.8893472,323.6555638,154.2210486
  7335 (1989 JA),1.770663534,0.484277578,15.19408532,61.31830663,232.274877,123.8524516
  7341 (1991 VK),1.842462627,0.506068185,5.416221567,294.8028632,173.4327659,205.7803773
  7482 (1994 PC1),1.346210776,0.328290215,33.48902018,117.8846721,47.61787059,84.72519091
  7753 (1988 XB),1.467118192,0.481571613,3.124706369,73.40710605,280.0339384,39.39419228
  7822 (1991 CS),1.122933327,0.164659143,37.1215922,156.8519237,249.4467372,102.4807497
  8014 (1990 MF),1.747144358,0.456228789,1.866829785,209.8771827,114.6869595,53.99792227
  8566 (1996 EN),1.506330673,0.430470869,37.97747625,164.1275027,125.1370837,63.76083465
  9856 (1991 EE),2.243070283,0.625993851,9.828549542,168.1058083,116.2204331,263.5530594
 10115 (1992 SK),1.248354947,0.324742346,15.32043475,8.908891333,233.6612277,175.365372
 11500 Tomaiyowit (1989 UR),1.079754281,0.355839691,10.30840193,234.420239,289.4704011,173.9211257
 12538 (1998 OH),1.541841884,0.406036861,24.52434707,220.7387962,321.7095846,316.2185066
 12923 Zephyr (1999 GK4),1.961697319,0.492100674,5.3051295,168.1881068,147.0837689,269.6104817
 13651 (1997 BR),1.335472721,0.305680761,17.24857093,116.6636134,133.8156492,88.63460006
 14827 Hypnos (1986 JK),2.841807729,0.666174735,1.980221121,57.96178079,238.1318766,93.84594178
 16960 (1998 QS52),2.201692546,0.858715321,17.52926021,260.3319906,243.0532739,245.9276065
 20425 (1998 VD35),1.56471012,0.476430243,6.983730277,227.363227,296.1519763,47.77448746
 22753 (1998 WT),1.219021212,0.569874889,3.204397185,307.4070393,324.7698581,220.0393212
 23187 (2000 PN9),1.846805402,0.589305604,51.33291714,164.3067404,293.5611108,337.6687701
 25143 Itokawa (1998 SF36),1.324179989,0.280041369,1.621250497,69.07931552,162.8136265,316.9966579
 26663 (2000 XK47),1.546021362,0.471746685,13.53722012,303.6741835,231.1225127,110.9806715
 27002 (1998 DV9),1.743503725,0.434010378,8.702059211,130.366977,0.790340809,324.4747886
 29075 (1950 DA),1.698665728,0.507736061,12.16734021,356.6558403,224.6831646,319.9225266
 31669 (1999 JT6),2.136095388,0.578421843,9.543129172,78.81852654,39.10227475,15.44462122
 33342 (1998 WT24),0.718866459,0.417592359,7.366757468,81.68650067,167.5495978,283.1221572
 35107 (1991 VH),1.137323405,0.1442006,13.91152988,139.3501157,206.9220658,42.94467618
 35396 (1997 XF11),1.44282097,0.483982084,4.098695518,213.7369511,102.9357826,195.5406735
 37638 (1993 VB),1.909164468,0.520120491,5.081765854,145.6043472,323.1160819,74.43388114
 37655 Illapa (1994 PM),1.477882391,0.752452513,18.02503133,139.5571941,303.87525,206.9413056
 38071 (1999 GU3),2.090635236,0.50665265,12.72728396,195.507439,8.857976871,65.13144715
 39572 (1993 DQ1),2.036833481,0.49237938,10.02443859,313.5515209,344.8197687,91.18138224
 41429 (2000 GE2),1.592704096,0.55549778,2.173278559,351.9279227,297.2149691,76.42989711
 52760 (1998 ML14),2.40858481,0.62363165,2.42829982,338.7226535,20.26832239,338.1802477
 52768 (1998 OR2),2.38440285,0.573245799,5.866383129,26.98509954,174.5829136,65.63270536
 53319 (1999 JM8),2.725014315,0.641729168,13.84187862,133.6190861,166.820014,281.6988977
 53426 (1999 SL5),1.922790793,0.538686043,22.77520579,239.0920052,43.33391539,10.57234293
 53429 (1999 TF5),2.022829808,0.64002284,26.78582547,199.2331881,64.06407736,161.8963505
 53550 (2000 BF19),1.495340617,0.419686914,7.17611741,313.2152011,324.9105986,32.6466597
 53789 (2000 ED104),1.370689158,0.269164635,40.78386762,190.0258324,218.3465067,96.98739585
 65679 (1989 UQ),0.915100584,0.264731608,1.299319043,178.2454147,14.89537421,167.2036953
 65690 (1991 DG),1.427603257,0.363159571,11.14413196,180.1257405,63.32488119,123.4825386
 65717 (1993 BX3),1.395208887,0.281251154,2.790767989,175.4171538,290.1972874,347.488899
 65803 Didymos (1996 GT),1.644477952,0.383626637,3.407707201,73.20386125,319.3216926,45.04055203
 65909 (1998 FH12),1.091157593,0.539616984,3.560212393,108.6125112,284.4919292,66.22626957
 66391 Moshup (1999 KW4),0.642346237,0.68839509,38.88219645,244.9031916,192.6437822,136.8013045
 67367 (2000 LY27),1.30854881,0.212784417,9.023898351,264.5326208,184.837083,47.06311211
 67381 (2000 OL8),1.320428293,0.542904964,10.66641952,294.9527839,266.8038568,208.81626
 68216 (2001 CV26),1.31968817,0.326575218,17.99369678,18.14678508,48.73609071,111.7587638
 68346 (2001 KZ66),1.50751839,0.416534047,16.69311773,219.3844062,140.2496058,108.2798678
 68347 (2001 KB67),0.962169462,0.380260725,17.12331077,245.8931765,243.7571126,329.999441
 68372 (2001 PM9),1.618137672,0.415627029,8.100768698,253.0329605,322.222272,207.6824738
 68548 (2001 XR31),1.706564565,0.436695872,22.72012929,302.0500413,24.70113694,287.7306103
 68950 (2002 QF15),1.057092497,0.344350834,25.15056623,236.224472,255.5590621,224.8792759
 69230 Hermes (1937 UB),1.654826818,0.624591562,6.066891961,34.1290395,92.83751784,351.3444926
 85182 (1991 AQ),2.222950877,0.776469104,3.122687525,339.6068193,243.0340478,2.400275844
 85236 (1993 KH),1.233665411,0.311055179,12.80649354,54.37876439,293.7911813,325.695946
 85585 Mjolnir (1998 FG2),1.297618546,0.356370216,4.082502885,2.32283262,95.41018139,183.9970312
 85640 (1998 OX4),1.580445456,0.485638983,4.51537041,299.6002832,117.2775659,40.7039528
 85713 (1998 SS49),1.924320951,0.639257598,10.76129034,41.47102777,102.4753054,83.07533597
 85774 (1998 UT18),1.402944002,0.329127246,13.5886812,64.65327312,50.11162601,68.32809717
 85938 (1999 DJ4),1.85312879,0.483442669,9.143085694,19.90228445,197.6448661,215.2635703
 85989 (1999 JD6),0.883062479,0.632846444,17.06392975,130.1685481,309.2392232,115.6326845
 85990 (1999 JV6),1.008205032,0.311094905,5.359270663,124.3174917,235.5281534,29.43605516
 86039 (1999 NC43),1.759775822,0.578553191,7.131922739,311.6585776,120.7793122,346.2761321
 86819 (2000 GK137),1.995928998,0.505920669,10.06093192,164.9005486,150.2814475,83.13375688
 87684 (2000 SY2),0.858618576,0.642699916,19.22626523,162.0328052,47.77770437,248.7428184
 88254 (2001 FM129),1.182325831,0.629475095,1.522238124,272.1509233,140.1873125,173.3147567
 89136 (2001 US16),1.356048704,0.252907447,1.90530864,175.9514985,67.12499606,178.7663198
 89830 (2002 CE),2.077553629,0.506927154,43.64554105,19.89432323,5.800759408,152.5092014
 89958 (2002 LY45),1.641425492,0.886286612,9.909170798,188.1919912,222.9010697,250.1155832
 89959 (2002 NT7),1.735465183,0.528200317,42.35499723,132.0253131,300.7069954,322.9659203
 90075 (2002 VU94),2.133493331,0.576250708,8.914701844,226.7587779,30.67300407,45.84996631
 90403 (2003 YE45),1.234352124,0.28002985,19.00629621,286.25656,306.8098334,54.94475823
 90416 (2003 YK118),1.694817663,0.491933552,7.838685508,326.8807072,233.0690234,212.0603362
 99248 (2001 KY66),1.8666242,0.507511283,10.61290064,284.1507684,61.50048027,178.7098023
 99942 Apophis (2004 MN4),0.922524713,0.191508866,3.33677307,204.0419982,126.6539531,110.6321822
100085 (1992 UY4),2.65200594,0.619047381,2.64203969,305.2283707,42.14752703,198.611394
101869 (1999 MM),1.624319305,0.610728954,4.765049804,110.9545364,268.7838331,106.1222379
101955 Bennu (1999 RQ36),1.126391026,0.203745108,6.034939534,2.060867329,66.22306846,101.7039479
103067 (1999 XA143),1.843310763,0.581644016,38.5474957,116.6281188,104.0158869,98.03943458
111253 (2001 XU10),1.753757877,0.439565228,42.02933404,310.1583627,6.935840346,188.0555927
136617 (1994 CC),1.637859329,0.416986927,4.680965732,268.5472175,24.86844193,165.3390534
136618 (1994 CN2),1.572983411,0.394933544,1.439267811,99.33896689,248.2446545,0.74788395
136795 (1997 BQ),1.746886317,0.47866722,10.98855018,50.16553766,147.4687514,103.246737
136849 (1998 CS1),1.491382871,0.578234071,7.790063124,110.7807504,97.66638609,167.1857184
137108 (1999 AN10),1.458584522,0.562077879,39.93406855,314.3779712,268.3217182,113.6761922
137120 (1999 BJ8),1.899113458,0.549962661,8.991307871,339.5934114,221.855312,105.7554765
137126 (1999 CF9),1.772701309,0.600271892,5.547607723,157.073313,90.27789188,56.59510218
137427 (1999 TF211),2.449198547,0.609907753,39.22043444,348.0610525,161.8793918,132.1597533
138095 (2000 DK79),1.776678037,0.414384631,60.6777249,43.46018404,2.552601346,357.4496979
138127 (2000 EE14),0.661830565,0.533052158,26.46262529,155.76118,197.8362753,33.43664305
138175 (2000 EE104),1.004144489,0.293161982,5.238172805,25.56128789,280.940571,120.971798
138404 (2000 HA24),1.138947663,0.318684247,2.164948286,309.3978686,142.1428353,84.31212054
138524 (2000 OJ8),2.356450032,0.567787223,6.245126955,226.5983855,181.2451962,186.6538673
138727 (2000 SU180),2.105990598,0.605980975,11.90826969,327.9482725,136.2304065,197.8443503
138971 (2001 CB21),1.034411033,0.333400986,7.898893708,353.7240097,271.8053033,243.3070673
139211 (2001 GN2),1.85938822,0.452299714,26.06927039,173.5594104,3.371935923,282.7385748
139359 (2001 ME1),2.633984401,0.869803225,5.950129803,84.65105465,302.2719077,176.0038387
139622 (2001 QQ142),1.42271085,0.3111577,9.316517195,83.26268301,337.9206372,97.23379681
140039 (2001 SO73),1.820537608,0.568693976,4.854323408,197.2054627,30.91006953,21.17805974
140158 (2001 SX169),1.34749497,0.461000682,2.515944193,126.863202,42.63699277,292.1251783
140288 (2001 SN289),1.783911641,0.507755888,53.22553121,357.0960365,225.6110998,125.4402132
141053 (2001 XT1),1.528644911,0.579535347,2.731465983,316.2502802,31.32562683,57.81838866
141432 (2002 CQ11),0.978018231,0.428120651,2.464103125,81.35609041,272.8157805,251.4066724
141495 (2002 EZ11),1.114136378,0.802070045,2.354257413,51.91309996,317.7383706,101.3891553
141525 (2002 FV5),1.086985795,0.724603194,34.03081026,38.8577916,308.0901878,113.5556908
141527 (2002 FG7),1.513518783,0.626739374,9.202866933,187.4971528,247.6865534,61.46282758
141593 (2002 HK12),2.00184805,0.528944433,2.349752525,307.0081083,2.240959037,173.8843169
141614 (2002 JV15),1.623246044,0.536288159,7.182911251,200.6533576,127.3428572,322.1591978
141851 (2002 PM6),1.198059357,0.850099008,19.17236628,304.1210814,224.4080714,38.80667628
143404 (2003 BD44),1.967912093,0.606418703,2.662732156,181.2899944,89.2657751,102.6902158
143487 (2003 CR20),2.125286449,0.729679547,4.988736298,177.0983358,88.82428309,244.2557397
143649 (2003 QQ47),1.085404904,0.186996343,62.09970648,0.991316515,104.9813207,33.74365087
143651 (2003 QO104),2.135688842,0.524157894,11.60310459,58.2231983,183.5522704,253.1747227
143992 (2004 AF),1.971269535,0.553663915,27.13727508,315.6491537,57.92447274,66.73950121
144332 (2004 DV24),1.423019913,0.289741101,55.89250362,171.1360886,186.3806875,113.5383105
144898 (2004 VD17),1.507859257,0.58883878,4.223993645,224.0053291,90.95308757,281.0066869
144900 (2004 VG64),0.9683353,0.655563363,36.25575633,208.8633454,43.92540613,21.55346362
152560 (1991 BN),1.443395918,0.397990719,3.445471221,268.8591167,80.90473181,180.8340212
152561 (1991 RB),1.454439896,0.48565507,19.57589631,359.31281,68.94233539,213.1823268
152637 (1997 NC1),0.865090352,0.208205065,16.72508455,96.49580693,16.59446239,200.4461806
152664 (1998 FW4),2.52807774,0.7143423,3.421046665,353.7341545,85.34160651,280.4601805
152671 (1998 HL3),1.128843182,0.366017114,2.679729406,163.6714243,188.1318084,215.9259542
152680 (1998 KJ9),1.447719077,0.639734933,10.93089199,98.58115414,260.0610606,304.5994883
152685 (1998 MZ),1.346597444,0.573228808,0.146464724,121.7243735,39.7874476,185.9328068
152754 (1999 GS6),1.191170676,0.49739514,2.02063836,314.4437784,134.9528289,302.0162246
152770 (1999 RR28),1.877688526,0.654620009,7.139936238,178.2183945,284.5483459,55.867233
152828 (1999 VT25),1.162081394,0.523155419,5.148846514,221.9878053,319.1546083,232.3995582
152978 (2000 GJ147),1.162237746,0.236712022,25.00681136,57.86208899,240.793667,112.7699361
153002 (2000 JG5),1.340551489,0.795951867,31.43144104,213.0716425,233.4372666,138.5679853
153201 (2000 WO107),0.911174804,0.780775693,7.773901011,69.24668057,213.7019719,72.99852438
153220 (2000 YN29),2.522834946,0.675800725,5.878510384,67.87721959,138.1475664,309.3343624
153311 (2001 MG1),2.499908514,0.646190438,28.42627238,142.3758669,218.4475676,315.3807541
153591 (2001 SN263),1.986556657,0.479207454,6.694941602,325.7576411,172.9898712,210.6692156
153814 (2001 WN5),1.711748553,0.467117885,1.91898759,277.4300967,44.58351355,214.348812
153958 (2002 AM31),1.702939294,0.451592665,4.644883744,144.3803036,197.9330664,266.0835405
154019 (2002 CZ9),1.325502479,0.360112999,4.971517899,142.8785657,80.82574411,80.31538223
154269 (2002 SM),1.871446085,0.486214919,14.42740274,10.89043418,217.2399896,121.6170692
154275 (2002 SR41),1.083349064,0.490845108,11.57831902,247.8213905,258.1392762,336.2352309
154276 (2002 SY50),1.703813709,0.689719481,8.741042702,34.23015969,99.45239238,28.17526292
154302 (2002 UQ3),1.719540346,0.561978765,28.81719372,222.7964119,280.8909096,338.5804768
154330 (2002 VX94),1.476537151,0.408674863,7.161858986,320.1641907,215.0744539,304.541233
154590 (2003 MA3),1.10534704,0.402204789,1.412937838,152.6498557,228.912239,60.61390673
155338 (2006 MZ1),1.569385167,0.482464477,2.081829845,226.6342099,138.618526,99.2475603
159504 (2000 WO67),2.434692635,0.61714488,9.691528076,107.6092511,237.7496641,135.5873275
159857 (2004 LJ1),2.262631277,0.593734315,23.1453041,235.5770771,139.9587125,274.1184539
161989 Cacus (1978 CA),1.123168986,0.213959115,26.06088237,161.2296147,102.1921603,259.049701
162000 (1990 OS),1.678507447,0.462540529,1.092415726,346.5348558,21.53223745,325.1451989
162039 (1996 JG),1.801557058,0.660626798,5.281988608,52.85839459,280.2068403,35.71228326
162082 (1998 HL1),1.246321031,0.18706145,20.05175706,213.5418859,148.6394441,316.4912834
162116 (1998 SA15),1.915398801,0.558757717,7.112898545,114.1955898,331.45214,107.3338537
162120 (1998 SH36),1.087930006,0.571028099,2.131104965,217.8983882,278.7500482,143.4590585
162162 (1999 DB7),1.205791248,0.194834743,10.84154642,157.5999975,29.88052497,148.2292788
162173 Ryugu (1999 JU3),1.190568663,0.19099437,5.883716239,251.5358517,211.4437113,345.6399286
162183 (1999 NB5),2.073179889,0.535072477,1.43066823,235.3785581,123.0905607,40.78186559
162210 (1999 SM5),2.30307119,0.695386722,5.192524491,327.7325343,319.1711083,47.97214652
162361 (2000 AF6),0.877758158,0.411393145,2.695313591,110.6996813,200.2333766,308.1788432
162416 (2000 EH26),1.853833744,0.478395327,0.398772701,215.2159429,19.13951064,57.58733614
162421 (2000 ET70),0.946649672,0.123734479,22.32391937,331.1428752,46.08875967,333.4510928
162422 (2000 EV70),1.207396959,0.5310222,1.399156918,108.9277699,314.5240967,280.6171423
162474 (2000 LB16),1.240829248,0.35746169,50.71149889,80.86093841,285.2562712,245.0090546
162510 (2000 QW69),1.376208551,0.302117999,38.14976697,344.3450195,220.6864616,316.6773372
162567 (2000 RW37),1.247577073,0.250270597,13.74799662,333.307557,133.2677723,101.8506323
162687 (2000 UH1),1.875129376,0.543674595,14.77276122,76.1525235,40.97886728,275.1809523
162695 (2000 UL11),2.123354334,0.636095322,2.192955737,333.2218873,151.9078803,160.9902585
162783 (2000 YJ11),1.312940921,0.231885347,7.26321217,64.98788493,339.082471,236.7915026
162825 (2001 BO61),1.773609089,0.743207893,9.078273072,159.8087451,78.82796004,114.9772107
162882 (2001 FD58),1.092263425,0.575194286,6.497425088,341.1805119,45.99844932,219.7395757
162922 (2001 OY13),1.31834397,0.381669836,10.29961691,284.2388289,291.2110929,342.6895882
162979 (2001 RA12),2.037010834,0.544114441,17.0894685,311.5887321,326.081397,245.0459095
162998 (2001 SK162),1.925364095,0.475001738,1.681690982,285.3784644,186.3996424,25.13935871
163014 (2001 UA5),1.787040201,0.445476609,9.937124974,58.63765648,27.70117166,350.2953188
163026 (2001 XR30),1.296971725,0.365239604,11.85967986,247.8930576,294.4147759,252.0340174
163051 (2001 YJ4),2.270752343,0.569307973,9.283887854,247.8341566,322.3572142,165.6918498
163067 (2002 AP3),2.042936584,0.5880619,7.59982419,87.4267655,117.6680875,142.5955835
163132 (2002 CU11),1.21970162,0.295199191,48.78084892,157.7515535,110.5427605,284.777332
163243 (2002 FB3),0.76160399,0.601695104,20.27821696,203.5872614,148.3108136,193.2460869
163249 (2002 GT),1.34439211,0.33489001,6.968828151,201.7461514,135.1127145,254.7225679
163348 (2002 NN4),0.875885525,0.434615407,5.420558647,259.468848,222.1702114,324.335194
163364 (2002 OD20),1.365495391,0.369067228,4.188835345,259.9634929,275.2411506,299.0898903
163373 (2002 PZ39),1.468926255,0.546332511,1.668204446,328.9002806,259.9851066,141.1936014
163683 (2002 YP2),1.577154573,0.688272363,20.62324731,52.49511473,281.3642352,54.90339983
163697 (2003 EF54),1.609201634,0.472776075,2.951310015,268.5038708,353.7200909,220.4160177
163818 (2003 RX7),1.229103376,0.354489217,10.38938723,241.0527108,245.8396922,136.1651158
163899 (2003 SD220),0.826688304,0.210657686,8.514735039,273.9146799,326.9350669,94.75990926
164121 (2003 YT1),1.109615186,0.291986401,44.05968694,38.32738009,91.04778758,134.6446227
164202 (2004 EW),0.987921772,0.278992407,4.669003586,342.9119362,56.19235366,114.6014706
164207 (2004 GU9),1.001312878,0.136029389,13.65026878,38.51850088,279.7902535,126.0406107
164211 (2004 JA27),1.666323919,0.423314058,2.258030343,67.77005994,270.197909,207.4287271
164216 (2004 OT11),2.151213519,0.565305554,19.94598813,295.0960616,326.3349711,90.28806829
168318 (1989 DA),2.161916458,0.543410864,6.495542662,349.1255523,139.8081102,9.030346357
170086 (2002 XR14),1.905590106,0.625209218,2.129920326,75.66949388,120.1045251,265.42808
170903 (2004 WS2),1.336435485,0.603036334,8.262635666,87.75020876,115.3444344,94.77401896
171576 (1999 VP11),1.085725811,0.583546624,17.27937772,208.0973493,61.73397483,331.5908266
171839 (2001 JM1),1.460918383,0.310821949,17.07154635,226.6842115,321.8997318,57.3987698
172678 (2003 YM137),2.593737217,0.689250481,2.701833695,77.05867131,127.2263511,356.5828201
173561 (2000 YV137),1.447938391,0.311035141,28.00184083,137.2353445,211.3584435,258.4178281
175706 (1996 FG3),1.053857331,0.349718948,1.991163096,299.6804641,24.0595437,197.9063369
175729 (1998 BB10),1.271768263,0.424561611,11.53600029,124.2958873,259.2063876,38.34009081
177049 (2003 EE16),1.417436604,0.614172127,0.65031023,127.1462531,259.5776322,267.6530216
177614 (2004 HK33),1.888545554,0.520487276,5.439108465,104.7904681,221.4310548,122.7778553
179806 (2002 TD66),1.857377483,0.535073043,4.927535038,335.5559326,125.8842764,35.44268662
180186 (2003 QZ30),2.419735984,0.631564269,8.567507708,178.0805435,243.0885346,192.4671114
184266 (2004 VW14),2.118094529,0.600600107,3.851538235,101.1579126,42.29523365,53.96965188
185851 (2000 DP107),1.365313148,0.376633315,8.671696004,358.6763264,289.7793494,277.1334774
186844 (2004 GA1),2.431787575,0.672624374,7.77545734,261.5573251,54.58124403,111.0126293
187040 (2005 JS108),1.35614394,0.322510703,6.040631502,110.8631112,243.88298,234.8130039
189040 (2000 MU1),1.373012362,0.382487756,13.09480293,130.0834537,63.63978024,306.6055688
189865 (2003 NC),1.40566705,0.805659023,21.60883423,288.5104949,224.2008832,207.371036
192559 (1998 VO),1.074566921,0.226526366,10.0610921,228.1794778,75.95439031,323.1925493
192563 (1998 WZ6),1.452010655,0.407929021,24.75358266,68.72614395,110.682136,157.6775176
194006 (2001 SG10),1.448464154,0.424380428,4.257395899,184.968831,101.6064312,43.46211944
194268 (2001 UY4),1.452807818,0.787472123,5.437977789,160.7522742,107.7581463,6.389009514
196068 (2002 TW55),2.117120888,0.664828325,59.37254548,33.57082487,251.1277734,357.3298387
196625 (2003 RM10),1.846925933,0.591610366,13.72885464,341.3182003,287.286998,337.4166168
197588 (2004 HE12),1.845141232,0.466172748,42.7271345,338.0407863,162.2247761,238.8876466
199003 (2005 WJ56),0.958966626,0.152055594,21.61601162,288.053164,297.6932607,177.9195009
199145 (2005 YY128),1.649525645,0.731544651,3.771404291,300.3147601,314.7816348,330.2674899
199801 (2007 AE12),1.684228174,0.569419514,2.284875972,245.5008117,86.90416965,217.2591184
200840 (2001 XN254),2.325206155,0.55837508,1.939362086,264.4497536,278.3393538,102.251354
202683 (2006 US216),0.636946075,0.56242377,3.432328919,193.2459209,56.41788291,63.54441933
205744 (2002 BK25),2.298068499,0.747764224,11.93519065,156.1470477,103.9462519,127.5018045
206378 (2003 RB),1.788241896,0.438900829,6.725163567,317.1520172,44.01342738,69.96381723
206910 (2004 NL8),2.578179615,0.71513836,5.015981868,150.9722566,278.0414437,328.311201
207398 (2006 AS2),2.093702868,0.638588129,2.59338938,125.9611352,79.58649553,314.26331
207945 (1991 JW),1.039063698,0.118676903,8.709812294,53.86392463,301.9368374,229.418054
208023 (1999 AQ10),0.934328697,0.235654418,6.498832879,327.0897363,300.4859329,304.88991
208115 (2000 CT101),1.299371104,0.354686818,23.29841341,135.5643895,292.4334889,67.01534313
212546 (2006 SV19),2.132904605,0.515522704,7.355610051,116.2137733,182.572205,234.1156217
214869 (2007 PA8),2.845848904,0.653930233,1.994453331,141.3764404,293.8678543,248.7999801
215588 (2003 HF2),1.113872717,0.675399642,3.056450846,189.8927101,231.0298378,101.6482166
216115 (2006 SU19),1.526959635,0.586326006,2.091759783,152.2414243,10.5603528,81.54591935
216258 (2006 WH1),1.671898619,0.484786297,2.632404766,240.4580814,263.5114421,147.0487567
216523 (2001 HY7),0.913852028,0.412094837,5.208499317,205.2425729,211.1301078,330.2984546
216985 (2000 QK130),1.180589558,0.261769499,4.722329939,173.8777227,66.30562225,2.379040437
217430 (2005 SN25),1.229867993,0.270466216,13.01130231,168.3093107,45.14785626,189.6483593
217628 Lugh (1990 HA),2.546902664,0.708622025,4.121390565,180.8915221,312.4616721,179.9333449
220839 (2004 VA),1.900052112,0.596148315,3.698718848,109.6393668,43.13439625,14.74385123
221455 (2006 BC10),2.01464099,0.658235783,0.927673009,21.24005863,234.0381112,20.22670811
221980 (1996 EO),1.341496092,0.400616808,21.5921364,356.4775812,64.70951567,45.41934989
226514 (2003 UX34),1.095099855,0.615774894,2.563483451,4.343771218,218.5310934,117.1148944
226554 (2003 WR21),1.118523098,0.26134103,9.274973997,85.83947833,107.9785864,36.53675069
228368 (2000 WK10),1.478991989,0.702096783,14.7370744,57.96972224,244.4851775,103.7635555
230111 (2001 BE10),0.823109967,0.369228232,17.50729131,297.7775394,30.56574435,354.3382782
230549 (2003 BH),1.45639161,0.356155399,13.11450176,119.7744409,313.4094723,93.53311234
231937 (2001 FO32),1.701128764,0.826126224,38.98192172,181.7315432,123.3136615,299.1600429
232691 (2004 AR1),1.575941175,0.469515691,9.077605738,336.5272326,50.27162196,229.2934788
234145 (2000 EW70),0.937571093,0.321294789,5.427622183,178.043056,125.7687557,214.5598373
235756 (2004 VC),1.133388881,0.258845819,39.1441569,194.1663461,94.2021567,194.2225321
242216 (2003 RN10),2.230181507,0.54124832,39.64716961,267.2062102,4.613179579,74.86028036
242450 (2004 QY2),1.083921242,0.477105946,37.0319119,295.2921183,104.9794992,91.96296835
242643 (2005 NZ6),1.833360853,0.865109975,8.417638121,38.8164768,48.95145984,41.65435292
242708 (2005 UK1),2.500329071,0.695338782,0.790437296,180.3408207,345.9212946,249.3000443
243566 (1995 SA),2.458890675,0.640930273,19.93706018,170.3289804,52.83062999,259.3953835
244977 (2004 BE68),1.760538235,0.444317443,15.73470643,210.8900591,191.2524876,112.8461932
247360 (2001 XU),2.572393377,0.836766243,19.07061245,261.0850705,285.9619206,207.0443139
250620 (2005 GE59),2.108157081,0.602442734,16.07876833,194.7624941,243.0342314,106.0841449
250680 (2005 QC5),0.893015247,0.364568583,9.449738147,48.09167653,108.699519,229.6417418
250706 (2005 RR6),2.959524246,0.700109519,6.931314128,27.29645196,59.96088364,347.1525745
251346 (2007 SJ),2.015748738,0.533908228,8.197252658,306.8148757,175.0655573,149.1436415
251722 (1997 US2),1.674135297,0.661596187,3.170092195,65.9749391,100.210536,198.9304939
